Store,Date,CategoryID,ProductID,Q1,Q2,Q3,Q4
1,3/10/2019 0:00:00,1,11XXRP-P,24924.5,46039.49,41595.55,NaN
1,6/4/2019 0:00:00,2,12XXRP-Q,50605.27,44682.74,47928.89,NaN
1,1/16/2019 0:00:00,3,13XXRP,13740.12,10887.84,11523.47,NaN
1,10/18/2019 0:00:00,4,14XXRP,39954.04,d35351.21,36826.95,NaN
1,4/11/2019 0:00:00,5,15XXRP-A,32229.38,29620.81,26468.27,NaN
1,5/30/2019 0:00:00,6,16XXRP,5749.03,9135.87,6060.26,NaN
1,12/1/2019 0:00:00,7,17XXRP,21084.08,18310.31,19985.2,NaN
1,2/22/2019 0:00:00,8,18XXRP-C,40129.01,37334.83,38717.6,NaN
1,6/17/2019 0:00:00,9,19XXRP,16930.99,16562.49,15880.85,15175.52
1,3/3/2019 0:00:00,10,110XXRP,30721.5,31494.77,29634.13,27921.96
1,3/12/2019 0:00:00,11,111XXRP,24213.18,21760.75,18706.21,17306.61
1,8/27/2019 0:00:00,12,112XXRP,8449.54,8654.07,9165.98,9015.37
1,4/22/2019 0:00:00,13,113XXRP,41969.29,36476.4,37857.68,37467.32
1,5/6/2019 0:00:00,14,114XXRP,19466.91,18129.02,17491.36,16118.26
1,11/12/2019 0:00:00,16,116XXRP,10217.55,11873.89,13855.54,12881.02
1,8/16/2019 0:00:00,17,117XXRP,13223.76,13403.66,13485.61,10667.06
1,8/13/2019 0:00:00,18,118XXRP,4729.5,19006.5,17623.72,545.02
1,5/20/2019 0:00:00,19,119XXRP,1947.05,1490.79,1722.17,1655.32
1,4/1/2019 0:00:00,20,120XXRP,5034.1,3697.7,4719.89,4007.94
1,11/9/2019 0:00:00,21,121XXRP,8907.63,8735.83,8949.67,8592.42
1,3/17/2019 0:00:00,22,122XXRP,13623.98,14807.95,12290.16,9295.78
1,12/11/2019 0:00:00,23,123XXRP,24146.49,22812.41,21381.85,17798.37
1,8/17/2019 0:00:00,24,124XXRP,8272.9,8050.24,7366.7,5630.82
1,11/12/2019 0:00:00,25,125XXRP,11609.5,13268.75,10271.25,10218.67
1,12/19/2019 0:00:00,26,126XXRP,11737.12,10050.92,10547.6,8541.14
1,10/16/2019 0:00:00,27,127XXRP,2293,2339.5,2494.5,1666.75
1,3/28/2019 0:00:00,28,128XXRP,1085.29,1008.36,1012.09,986.07
1,9/13/2019 0:00:00,29,129XXRP,7024.95,7696.61,7966.55,4972.65
1,7/15/2019 0:00:00,30,130XXRP,5491,5328.5,5735,3614.48
1,2/8/2019 0:00:00,31,131XXRP,3455.92,3228.96,2652,2665.75
1,8/13/2019 0:00:00,32,132XXRP,11875.84,14700.59,20275.45,8146.57
1,7/14/2019 0:00:00,33,133XXRP,8589.77,8483.54,7611.35,4814.66
1,11/14/2019 0:00:00,34,134XXRP,14350.83,12852.83,13006.5,12005
1,10/17/2019 0:00:00,35,135XXRP,2770,2420,2176,2029.9
1,1/8/2019 0:00:00,36,136XXRP,120,432,595,506
1,8/28/2019 0:00:00,37,137XXRP,3438.16,3450.68,3203.31,2474.99
1,1/10/2019 0:00:00,38,138XXRP,115564.35,94136.35,98672.59,92755.59
1,3/11/2019 0:00:00,40,140XXRP,66780.63,60828.25,68569.53,64328.29
1,7/14/2019 0:00:00,41,141XXRP,1011.83,924.53,1206.88,885.27
1,6/9/2019 0:00:00,42,142XXRP,8366.71,7284.34,8423.87,7039.85
1,2/14/2019 0:00:00,44,144XXRP,4674.75,4463.33,4401.78,3864.43
1,7/4/2019 0:00:00,45,145XXRP,37.44,34.47,22.94,45.41
1,1/7/2019 0:00:00,46,146XXRP,20837.77,18826.47,22414.94,18099.75
1,8/6/2019 0:00:00,47,147XXRP,70,NA,-863,NA
1,5/31/2019 0:00:00,48,148XXRP,814,247,354,357
1,7/3/2019 0:00:00,49,149XXRP,11501.46,16139.05,16736.17,16245.13
1,9/26/2019 0:00:00,43,193XXRP,64494.87,70202.02,62581.64,57630.02
2,4/14/2019 0:00:00,1,21XXRP,35034.06,60483.7,58221.52,25962.32
2,11/6/2019 0:00:00,2,22XXRP,74661.16,65487.46,70853.58,64963.9
2,2/21/2019 0:00:00,3,23XXRP,16873.2,13821.01,14607.28,15635.95
2,11/6/2019 0:00:00,4,24XXRP,47681.96,44197.95,46131.14,42126.71
2,8/28/2019 0:00:00,5,25XXRP,34025.45,37978.19,31620.12,26394.97
2,3/9/2019 0:00:00,6,26XXRP,7472.24,12491.16,10592.63,8273.51
2,6/1/2019 0:00:00,7,27XXRP,28512.95,29067.99,31003.4,24275.91
2,6/2/2019 0:00:00,8,28XXRP,69634.8,63393.29,66589.27,61875.48
2,1/25/2019 0:00:00,9,29XXRP,24162.08,21365.98,25458.81,24049.15
2,2/1/2019 0:00:00,10,210XXRP,39602.47,37984.44,38889.43,41137.74
2,2/18/2019 0:00:00,11,211XXRP,24800.3,18323.66,19504.74,19397.41
2,11/25/2019 0:00:00,12,212XXRP,6906.2,6507.63,6786.66,7281.54
2,6/21/2019 0:00:00,13,213XXRP,53319.96,47186.1,51947.05,50308
2,1/31/2019 0:00:00,14,214XXRP,26425.58,22993.48,25802.77,23585.55
2,3/12/2019 0:00:00,16,216XXRP,9674.86,9987.62,11495.54,12558.37
2,2/15/2019 0:00:00,17,217XXRP,18810.11,16749.96,18650.87,16339.18
2,6/3/2019 0:00:00,18,218XXRP,7277.75,22756.44,18259.4,910.33
2,6/15/2019 0:00:00,19,219XXRP,4891.96,3713.47,4488.64,5016.24
2,10/5/2019 0:00:00,20,220XXRP,7231.65,6521.37,6596.04,6828.44
2,1/21/2019 0:00:00,21,221XXRP,12636.72,11932.84,12645.93,12108.36
2,10/26/2019 0:00:00,22,222XXRP,20565.41,18694.14,16502.25,14974.46
2,5/16/2019 0:00:00,23,223XXRP,31836.69,30285.16,28701.21,24557.74
2,11/21/2019 0:00:00,24,224XXRP,9731.05,11838.72,9620.64,8785.76
2,7/12/2019 0:00:00,25,225XXRP,16827.5,19286,17803.75,13153.25
2,8/21/2019 0:00:00,26,226XXRP,13414.69,12962.49,13654.17,10098.66
2,8/9/2019 0:00:00,27,227XXRP,3184.5,2537.5,2791,2389
2,3/15/2019 0:00:00,28,228XXRP,1592.41,1400.7,1665.82,1251.45
2,1/13/2019 0:00:00,29,229XXRP,10322.43,10985.98,11228.01,8270.12
2,12/26/2019 0:00:00,30,230XXRP,6916,6753,7222.46,5990.5
2,3/16/2019 0:00:00,31,231XXRP,3840.21,3487.96,4092.52,3379.42
2,11/7/2019 0:00:00,32,232XXRP,17212.26,21492.32,28629.44,9541.47
2,7/27/2019 0:00:00,33,233XXRP,8896.08,8911.34,7981.41,7558.56
2,3/20/2019 0:00:00,34,234XXRP,20347.47,19002.81,20258.49,19738.31
2,5/18/2019 0:00:00,35,235XXRP,4216,2676,3425,3566.01
2,3/16/2019 0:00:00,36,236XXRP,975.5,727.5,1981.5,1709.5
2,2/21/2019 0:00:00,37,237XXRP,4961.19,4888.88,5569.84,5395.5
2,4/10/2019 0:00:00,38,238XXRP,113144.9,100344.36,93181.36,109233.51
2,8/13/2019 0:00:00,39,239XXRP,0,,0.78,7.02
2,9/15/2019 0:00:00,40,240XXRP,96799.15,80924.71,89782.95,87027.09
2,4/16/2019 0:00:00,41,241XXRP,1707.77,1890.97,2008.39,1366.83
2,1/26/2019 0:00:00,42,242XXRP,8438.99,6920.1,8394.74,8733.53
2,11/3/2019 0:00:00,44,244XXRP,8788.47,8245.97,7964.71,7602.02
2,11/24/2019 0:00:00,45,245XXRP,27.5,20.5,42.25,164.5
2,5/20/2019 0:00:00,46,246XXRP,30328.88,28121.34,31354.92,28812
2,7/13/2019 0:00:00,47,247XXRP,0,,,
2,12/13/2019 0:00:00,48,248XXRP,2357,1405,117,2607
2,11/19/2019 0:00:00,49,249XXRP,15767,15567.51,18008.47,17831.27
2,1/9/2019 0:00:00,43,293XXRP,66106.91,68501.78,61551.04,57055.68
3,11/5/2019 0:00:00,1,31XXRP,6453.58,12748.72,8918.31,4992
3,8/17/2019 0:00:00,2,32XXRP,17566.72,15177.3,15676.11,15112.23
3,5/17/2019 0:00:00,3,33XXRP,4710.29,4887.08,4461.75,4807.77
3,3/1/2019 0:00:00,4,34XXRP,8495.1,8489.46,7824.13,8012.43
3,8/20/2019 0:00:00,5,35XXRP,15051.48,12981.72,12577.82,9913.15
3,10/13/2019 0:00:00,6,36XXRP,2181.93,2605.51,2767.05,2289.72
3,1/10/2019 0:00:00,7,37XXRP,8914.32,8087.19,8767.34,8826.12
3,10/7/2019 0:00:00,8,38XXRP,9556.23,8134.91,9049.87,8971.63
3,12/1/2019 0:00:00,9,39XXRP,4349.71,4043.26,5073.94,5125.37
3,3/31/2019 0:00:00,10,310XXRP,11396.86,9630.52,10805.61,9937.75
3,1/18/2019 0:00:00,11,311XXRP,4893.73,4987.86,5528.31,4613.46
3,2/12/2019 0:00:00,12,312XXRP,2353.57,2471.91,2292.06,1934.68
3,4/5/2019 0:00:00,13,313XXRP,11747.06,10785.3,10945.53,11247.83
3,8/16/2019 0:00:00,14,314XXRP,4615.67,5336.32,5136.54,5550.58
3,11/2/2019 0:00:00,16,316XXRP,3701.57,4451.31,6472.84,6322.12
3,11/5/2019 0:00:00,17,317XXRP,3163.43,3916.9,3237.2,2917.09
3,1/12/2019 0:00:00,18,318XXRP,2201.25,7812.75,3756.81,223.44
3,5/2/2019 0:00:00,19,319XXRP,764.14,1025.06,646.34,836.72
3,12/28/2019 0:00:00,20,320XXRP,1771.44,1423.02,1837.09,1702.71
3,9/25/2019 0:00:00,21,321XXRP,1228.56,1052.41,1273.03,1259.2
3,5/30/2019 0:00:00,22,322XXRP,4508.2,4195.53,3323.17,4076.85
3,12/18/2019 0:00:00,23,323XXRP,10280.8,8957.69,9342.67,8134.79
3,4/1/2019 0:00:00,24,324XXRP,2581.34,2949.98,2431.3,2119.91
3,4/17/2019 0:00:00,25,325XXRP,4787.5,4179.75,4237.5,3506
3,9/10/2019 0:00:00,26,326XXRP,4652.78,4237.58,4733.06,3889.4
3,12/7/2019 0:00:00,27,327XXRP,947,818,753,679.5
3,9/1/2019 0:00:00,28,328XXRP,176.25,253.36,281.3,216.89
3,10/31/2019 0:00:00,29,329XXRP,1968.94,2015.5,2206.5,1438
3,7/4/2019 0:00:00,30,330XXRP,1977.76,1637.5,1801.64,1320.76
3,6/12/2019 0:00:00,31,331XXRP,1272.76,1149,748.96,983.96
3,12/11/2019 0:00:00,32,332XXRP,6928.39,7313.39,9081.68,4021.1
3,6/19/2019 0:00:00,33,333XXRP,4127.49,2991.55,3728.69,2889.76
3,9/11/2019 0:00:00,34,334XXRP,6032.36,5754.5,6298.83,4388.83
3,5/3/2019 0:00:00,35,335XXRP,1785,1609,1492,1285
3,11/5/2019 0:00:00,36,336XXRP,245,419,37,314.5
3,1/31/2019 0:00:00,38,338XXRP,155897.94,112533.94,119958.78,144088.08
3,1/14/2019 0:00:00,40,340XXRP,19987.85,19494.21,18574.54,19826.13
3,4/4/2019 0:00:00,41,341XXRP,557.58,543.71,493.54,530
3,8/7/2019 0:00:00,42,342XXRP,3680.66,3032.16,4607.05,3413.65
3,11/2/2019 0:00:00,44,344XXRP,1771.82,2738.65,1210.29,1348.82
3,6/18/2019 0:00:00,45,345XXRP,4.5,,4,
3,1/26/2019 0:00:00,46,346XXRP,6504.28,5176.71,5810.94,4992.1
3,7/19/2019 0:00:00,47,347XXRP,10,83,,
3,1/31/2019 0:00:00,49,349XXRP,0,,,
3,1/21/2019 0:00:00,37,387XXRP,1768.81,1041.1,1435.91,1133.62
